frame,time_s,faces,emotions,activity,motion_score,motion_z,anomaly
199,6.633,1,unknown,parado,0.011673,-0.6586,0
200,6.667,1,unknown,movimento,9.35704,0.5396,0
201,6.7,1,unknown,movimento,8.719602,0.4526,0
202,6.733,1,unknown,movimento,9.223112,0.5129,0
203,6.767,1,unknown,movimento,10.011747,0.6083,0
204,6.8,1,unknown,movimento,7.974334,0.3433,0
205,6.833,1,unknown,parado,0.016308,-0.6759,0
206,6.867,1,unknown,movimento,7.154499,0.2335,0
207,6.9,1,unknown,movimento,9.071145,0.4772,0
208,6.933,1,unknown,movimento,8.005336,0.3378,0
209,6.967,1,unknown,movimento,6.370067,0.1273,0
210,7.0,1,happy,movimento,8.356643,0.3799,0
211,7.033,1,happy,movimento,10.901274,0.6996,0
212,7.067,1,happy,parado,0.213988,-0.6718,0
213,7.1,1,happy,movimento,10.120727,0.5937,0
214,7.133,1,happy,movimento,6.970539,0.19,0
215,7.167,1,happy,movimento,8.355166,0.3642,0
216,7.2,1,happy,movimento,8.390616,0.3657,0
217,7.233,1,happy,movimento,11.254411,0.7228,0
218,7.267,1,happy,parado,0.056388,-0.7051,0
219,7.3,1,happy,movimento,12.680767,0.8917,0
220,7.333,1,happy,movimento,13.762995,1.0127,0
221,7.367,1,happy,movimento,12.859411,0.8849,0
222,7.4,1,happy,movimento,11.042169,0.6481,0
223,7.433,1,happy,movimento,7.098983,0.1523,0
224,7.467,1,happy,parado,0.235328,-0.7077,0
225,7.5,1,happy,movimento,7.032817,0.1423,0
226,7.533,1,happy,parado,5.337108,-0.07,0
227,7.567,1,happy,parado,4.736089,-0.145,0
228,7.6,1,happy,parado,4.605914,-0.1613,0
229,7.633,1,happy,parado,0.027214,-0.7273,0
230,7.667,1,happy,parado,5.581184,-0.0407,0
231,7.7,1,happy,movimento,6.37596,0.0549,0
232,7.733,1,happy,movimento,6.766691,0.1002,0
233,7.767,0,,movimento,8.442603,0.3041,0
234,7.8,1,happy,movimento,7.578845,0.1901,0
235,7.833,1,happy,parado,0.0171,-0.7526,0
236,7.867,1,happy,movimento,7.006506,0.1129,0
237,7.9,1,happy,movimento,7.999016,0.2305,0
238,7.933,1,happy,movimento,7.352985,0.1434,0
239,7.967,0,,movimento,7.018081,0.0953,0
240,8.0,1,happy,movimento,7.208073,0.1129,0
241,8.033,0,,movimento,6.95202,0.0749,0
242,8.067,0,,parado,0.023019,-0.798,0
243,8.1,0,,movimento,7.089652,0.0872,0
244,8.133,0,,movimento,7.38557,0.1189,0
245,8.167,1,happy,movimento,8.706192,0.2776,0
246,8.2,1,happy,movimento,8.727233,0.2716,0
